"DATE","state","land_rig_count"
2004-01-30,"Alabama",2
2004-02-06,"Alabama",2
2004-02-13,"Alabama",2
2004-02-20,"Alabama",3
2004-02-27,"Alabama",3
2004-03-05,"Alabama",2
2004-03-12,"Alabama",3
2004-03-19,"Alabama",3
2004-03-26,"Alabama",3
2004-04-02,"Alabama",3
2004-04-08,"Alabama",3
2004-04-16,"Alabama",3
2004-04-23,"Alabama",3
2004-04-30,"Alabama",3
2004-05-07,"Alabama",3
2004-05-14,"Alabama",3
2004-05-21,"Alabama",3
2004-05-28,"Alabama",3
2004-06-04,"Alabama",3
2004-06-11,"Alabama",2
2004-06-18,"Alabama",2
2004-06-25,"Alabama",2
2004-07-02,"Alabama",2
2004-07-09,"Alabama",2
2004-07-16,"Alabama",2
2004-07-23,"Alabama",2
2004-07-30,"Alabama",2
2004-08-06,"Alabama",2
2004-08-13,"Alabama",3
2004-08-20,"Alabama",3
2004-08-27,"Alabama",3
2004-09-03,"Alabama",3
2004-09-10,"Alabama",3
2004-09-17,"Alabama",2
2004-09-24,"Alabama",2
2004-10-01,"Alabama",2
2004-10-08,"Alabama",2
2004-10-15,"Alabama",2
2004-10-22,"Alabama",2
2004-10-29,"Alabama",2
2004-11-05,"Alabama",1
2004-11-12,"Alabama",1
2004-11-19,"Alabama",1
2004-11-24,"Alabama",1
2004-12-03,"Alabama",1
2004-12-10,"Alabama",1
2004-12-17,"Alabama",1
2004-12-23,"Alabama",1
2004-12-31,"Alabama",1
2005-01-07,"Alabama",3
2005-01-14,"Alabama",3
2005-01-21,"Alabama",3
2005-01-28,"Alabama",3
2005-02-04,"Alabama",3
2005-02-11,"Alabama",2
2005-02-18,"Alabama",3
2005-02-25,"Alabama",1
2005-03-04,"Alabama",1
2005-03-11,"Alabama",0
2005-03-18,"Alabama",0
2005-03-24,"Alabama",1
2005-04-01,"Alabama",2
2005-04-08,"Alabama",3
2005-04-15,"Alabama",3
2005-04-22,"Alabama",4
2005-04-29,"Alabama",4
2005-05-06,"Alabama",3
2005-05-13,"Alabama",2
2005-05-20,"Alabama",2
2005-05-27,"Alabama",3
2005-06-03,"Alabama",3
2005-06-10,"Alabama",2
2005-06-17,"Alabama",2
2005-06-24,"Alabama",2
2005-07-01,"Alabama",2
2005-07-08,"Alabama",2
2005-07-15,"Alabama",2
2005-07-22,"Alabama",2
2005-07-29,"Alabama",2
2005-08-05,"Alabama",2
2005-08-12,"Alabama",3
2005-08-19,"Alabama",3
2005-08-26,"Alabama",4
2005-09-02,"Alabama",4
2005-09-09,"Alabama",4
2005-09-16,"Alabama",4
2005-09-23,"Alabama",4
2005-09-30,"Alabama",5
2005-10-07,"Alabama",6
2005-10-14,"Alabama",6
2005-10-21,"Alabama",5
2005-10-28,"Alabama",5
2005-11-04,"Alabama",5
2005-11-11,"Alabama",6
2005-11-18,"Alabama",6
2005-11-23,"Alabama",6
2005-12-02,"Alabama",6
2005-12-09,"Alabama",6
2005-12-16,"Alabama",6
2005-12-22,"Alabama",6
2005-12-30,"Alabama",6
2006-01-06,"Alabama",6
2006-01-13,"Alabama",5
2006-01-20,"Alabama",4
2006-01-27,"Alabama",5
2006-02-03,"Alabama",5
2006-02-10,"Alabama",6
2006-02-17,"Alabama",6
2006-02-24,"Alabama",6
2006-03-03,"Alabama",6
2006-03-10,"Alabama",5
2006-03-17,"Alabama",3
2006-03-24,"Alabama",3
2006-03-31,"Alabama",2
2006-04-07,"Alabama",4
2006-04-13,"Alabama",4
2006-04-21,"Alabama",5
2006-04-28,"Alabama",4
2006-05-05,"Alabama",5
2006-05-12,"Alabama",5
2006-05-19,"Alabama",5
2006-05-26,"Alabama",4
2006-06-02,"Alabama",2
2006-06-09,"Alabama",4
2006-06-16,"Alabama",4
2006-06-23,"Alabama",4
2006-06-30,"Alabama",3
2006-07-07,"Alabama",3
2006-07-14,"Alabama",5
2006-07-21,"Alabama",4
2006-07-28,"Alabama",4
2006-08-04,"Alabama",4
2006-08-11,"Alabama",4
2006-08-18,"Alabama",3
2006-08-25,"Alabama",4
2006-09-01,"Alabama",2
2006-09-08,"Alabama",2
2006-09-15,"Alabama",3
2006-09-22,"Alabama",3
2006-09-29,"Alabama",4
2006-10-06,"Alabama",3
2006-10-13,"Alabama",4
2006-10-20,"Alabama",4
2006-10-27,"Alabama",4
2006-11-03,"Alabama",3
2006-11-10,"Alabama",4
2006-11-17,"Alabama",4
2006-11-22,"Alabama",3
2006-12-01,"Alabama",3
2006-12-08,"Alabama",3
2006-12-15,"Alabama",3
2006-12-22,"Alabama",2
2006-12-29,"Alabama",2
2007-01-05,"Alabama",5
2007-01-12,"Alabama",4
2007-01-19,"Alabama",5
2007-01-26,"Alabama",2
2007-02-02,"Alabama",2
2007-02-09,"Alabama",3
2007-02-16,"Alabama",4
2007-02-23,"Alabama",3
2007-03-02,"Alabama",2
2007-03-09,"Alabama",3
2007-03-16,"Alabama",2
2007-03-23,"Alabama",3
2007-03-30,"Alabama",2
2007-04-06,"Alabama",3
2007-04-13,"Alabama",3
2007-04-20,"Alabama",3
2007-04-27,"Alabama",3
2007-05-04,"Alabama",3
2007-05-11,"Alabama",4
2007-05-18,"Alabama",4
2007-05-25,"Alabama",4
2007-06-01,"Alabama",4
2007-06-08,"Alabama",6
2007-06-15,"Alabama",6
2007-06-22,"Alabama",7
2007-06-29,"Alabama",7
2007-07-06,"Alabama",5
2007-07-13,"Alabama",5
2007-07-20,"Alabama",4
2007-07-27,"Alabama",4
2007-08-03,"Alabama",5
2007-08-10,"Alabama",3
2007-08-17,"Alabama",4
2007-08-24,"Alabama",4
2007-08-31,"Alabama",5
2007-09-07,"Alabama",5
2007-09-14,"Alabama",4
2007-09-21,"Alabama",2
2007-09-28,"Alabama",5
2007-10-05,"Alabama",4
2007-10-12,"Alabama",5
2007-10-19,"Alabama",6
2007-10-26,"Alabama",6
2007-11-02,"Alabama",6
2007-11-09,"Alabama",6
2007-11-16,"Alabama",3
2007-11-21,"Alabama",3
2007-11-30,"Alabama",4
2007-12-07,"Alabama",4
2007-12-14,"Alabama",4
2007-12-21,"Alabama",5
2007-12-28,"Alabama",5
2008-01-04,"Alabama",4
